Data,# Samples,# Dimensions,Outlier Perc,CB-GAN
ionosphere,281,33,35.9431,0.9381
lympho,118,18,4.2373,1.0
letter,1280,32,6.25,0.7642
annthyroid,5760,6,7.4132,0.9058
pendigits,5496,16,2.2744,0.9834
cardio,1465,21,9.6246,0.9681
arrhythmia,361,274,14.6814,0.7589
shuttle,39277,9,7.1518,0.9938
satimage-2,4642,36,1.2279,0.9632
vowels,1165,12,3.4335,0.9470000000000001
pima,614,8,34.8534,0.7394
satellite,5148,36,31.6434,0.8712
optdigits,4173,64,2.8756,1.0
mnist,6082,100,9.2075,0.9479
musk,2449,166,3.1441,1.0
glass,171,9,4.0936,1.0
